evaluation_id,question,category,policy_id,expected_answer,difficulty,question_type
40,I have a question about order status. What is the policy?,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Medium,Policy-focused
41,What should I know about refund processing time?,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Easy,Conversational
42,What information do you have about refund payment method?,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Medium,Conversational
43,What do I need to know regarding express delivery?,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Medium,Direct
44,What do I need to know regarding standard delivery?,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Medium,Direct
45,What are the rules regarding warranty period?,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Medium,Direct
46,How does the invoice availability policy work?,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Medium,Paraphrased
47,What are the rules regarding discount restrictions?,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Medium,Direct
48,I need help with international delivery. What does the policy say?,International Orders,INT001,International delivery times vary depending on the destination and shipping service selected.,Easy,Policy-focused
49,Can you explain the product compatibility policy?,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Easy,Paraphrased
50,What is the policy for order tracking?,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Easy,Direct
51,I need help with return window. What does the policy say?,Returns,RET001,Items can be returned within 30 days of delivery.,Easy,Policy-focused
52,I need help with invoice availability. What does the policy say?,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Easy,Policy-focused
53,What are the rules regarding invoice availability?,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Medium,Direct
54,I need help with international tracking. What does the policy say?,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Easy,Policy-focused
55,Could you give me more information about express delivery?,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Hard,Conversational
56,Could you give me more information about damaged items?,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Hard,Conversational
57,How does the company handle invoice availability?,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Hard,Policy-focused
58,What do I need to know regarding warranty claims?,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Medium,Direct
59,Could you tell me about product information?,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Easy,Policy-focused
60,Do you offer a military discount?,Unsupported,,The available company policy does not contain enough information to answer this question.,Hard,Unsupported
61,Can you explain the order tracking policy?,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Easy,Paraphrased
62,Can I pay using Apple Pay?,Unsupported,,The available company policy does not contain enough information to answer this question.,Hard,Unsupported
63,Please explain the company's accepted payment methods policy.,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Hard,Paraphrased
64,What are the rules regarding refund processing time?,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Medium,Direct
65,How does the invoice requests policy work?,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Medium,Paraphrased
66,What are the requirements for account closure?,Account,ACC003,Customers can request account closure through customer support.,Hard,Policy-focused
67,What should I know about product compatibility?,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Easy,Conversational
68,What are the rules regarding product availability?,Products,PRO001,Product availability is shown on the product page and may change depending on inventory levels.,Medium,Direct
69,What are the rules regarding international tracking?,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Medium,Direct
70,I need help with refund payment method. What does the policy say?,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Easy,Policy-focused
71,Can I pay using Bitcoin?,Unsupported,,The available company policy does not contain enough information to answer this question.,Hard,Unsupported
72,I need help with discount restrictions. What does the policy say?,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Easy,Policy-focused
73,What are the requirements for international tracking?,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Hard,Policy-focused
74,Could you give me more information about invoice availability?,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Hard,Conversational
75,What is the policy for order modification?,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Easy,Direct
76,What are the requirements for refund processing time?,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Hard,Policy-focused
77,Can you tell me what the company policy says about subscription renewal?,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Medium,Policy-focused
78,Could you tell me about order modification?,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Easy,Policy-focused
79,What information do you have about product compatibility?,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Medium,Conversational
80,Can you explain the promo codes policy?,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Easy,Paraphrased
81,Please explain the company's standard delivery policy.,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Hard,Paraphrased
82,How does the company handle password reset?,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Hard,Policy-focused
83,Do you offer student discounts?,Unsupported,,The available company policy does not contain enough information to answer this question.,Hard,Unsupported
84,What are the requirements for invoice availability?,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Hard,Policy-focused
85,Could you give me more information about subscription cancellation?,Subscriptions,SUB001,Customers can cancel their subscription through their account settings before the next billing date.,Hard,Conversational
86,I need help with invoice requests. What does the policy say?,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Easy,Policy-focused
87,How does the company handle complaints?,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Hard,Policy-focused
88,What do I need to know regarding order modification?,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Medium,Direct
89,Can you explain the email address change policy?,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Easy,Paraphrased
90,What do I need to know regarding email address change?,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Medium,Direct
91,Please explain the company's invoice availability policy.,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Hard,Paraphrased
92,Could you give me more information about order status?,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Hard,Conversational
93,Could you tell me about password reset?,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Easy,Policy-focused
94,Could you tell me about refund payment method?,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Easy,Policy-focused
95,What information do you have about warranty period?,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Medium,Conversational
96,Could you give me more information about account closure?,Account,ACC003,Customers can request account closure through customer support.,Hard,Conversational
97,Can you tell me what the company policy says about password reset?,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Medium,Policy-focused
98,Could you tell me about account closure?,Account,ACC003,Customers can request account closure through customer support.,Easy,Policy-focused
99,How does the complaints policy work?,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Medium,Paraphrased
100,What information do you have about order modification?,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Medium,Conversational
101,Please explain the company's product compatibility policy.,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Hard,Paraphrased
102,Can you explain the standard delivery policy?,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Easy,Paraphrased
103,What are the rules regarding product compatibility?,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Medium,Direct
104,How does the discount restrictions policy work?,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Medium,Paraphrased
105,What do I need to know regarding invoice availability?,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Medium,Direct
106,What is the policy for payment failure?,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Easy,Direct
107,Can you tell me what the company policy says about original packaging?,Returns,RET002,Items should normally be returned in their original packaging to be eligible for a return.,Medium,Policy-focused
108,Could you give me more information about standard delivery?,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Hard,Conversational
109,I need help with promo codes. What does the policy say?,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Easy,Policy-focused
110,Could you give me more information about payment failure?,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Hard,Conversational
111,Can you tell me what the company policy says about complaints?,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Medium,Policy-focused
112,I have a question about order modification. What is the policy?,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Medium,Policy-focused
113,What should I know about order modification?,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Easy,Conversational
114,How does the express delivery policy work?,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Medium,Paraphrased
115,What are the rules regarding refund payment method?,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Medium,Direct
116,Please explain the company's order tracking policy.,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Hard,Paraphrased
117,Can you explain the order status policy?,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Easy,Paraphrased
118,I have a question about order tracking. What is the policy?,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Medium,Policy-focused
119,What do I need to know regarding complaints?,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Medium,Direct
120,What are the rules regarding payment failure?,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Medium,Direct
121,What are the requirements for password reset?,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Hard,Policy-focused
122,Can you explain the invoice availability policy?,Invoices,INV001,Invoices are available through the customer's account after an order has been completed.,Easy,Paraphrased
123,Please explain the company's damaged items policy.,Returns,RET003,Customers should contact support promptly if an item arrives damaged.,Hard,Paraphrased
124,Could you tell me about return window?,Returns,RET001,Items can be returned within 30 days of delivery.,Easy,Policy-focused
125,What information do you have about warranty claims?,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Medium,Conversational
126,What information do you have about contact support?,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Medium,Conversational
127,What is the policy for warranty claims?,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Easy,Direct
128,What do I need to know regarding accepted payment methods?,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Medium,Direct
129,How does the company handle subscription renewal?,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Hard,Policy-focused
130,What is the policy for account closure?,Account,ACC003,Customers can request account closure through customer support.,Easy,Direct
131,What do I need to know regarding promo codes?,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Medium,Direct
132,Please explain the company's contact support policy.,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Hard,Paraphrased
133,What are the rules regarding order cancellation?,Orders,ORD001,Orders can be cancelled before they are dispatched.,Medium,Direct
134,Please explain the company's original packaging policy.,Returns,RET002,Items should normally be returned in their original packaging to be eligible for a return.,Hard,Paraphrased
135,What is the policy for standard delivery?,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Easy,Direct
136,Can you explain the order modification policy?,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Easy,Paraphrased
137,Could you tell me about international delivery?,International Orders,INT001,International delivery times vary depending on the destination and shipping service selected.,Easy,Policy-focused
138,What do I need to know regarding discount restrictions?,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Medium,Direct
139,I need help with order cancellation. What does the policy say?,Orders,ORD001,Orders can be cancelled before they are dispatched.,Easy,Policy-focused
140,Could you tell me about international tracking?,International Orders,INT002,International orders can be tracked using the tracking information provided after dispatch.,Easy,Policy-focused
141,What is the policy for express delivery?,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Easy,Direct
142,What are the rules regarding original packaging?,Returns,RET002,Items should normally be returned in their original packaging to be eligible for a return.,Medium,Direct
143,What are the requirements for contact support?,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Hard,Policy-focused
144,Could you give me more information about product compatibility?,Products,PRO003,Customers should check the compatibility information provided on the product page before purchasing.,Hard,Conversational
145,How does the company handle order modification?,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Hard,Policy-focused
146,What should I know about payment failure?,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Easy,Conversational
147,What should I know about complaints?,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Easy,Conversational
148,Please explain the company's order modification policy.,Orders,ORD002,Order details cannot normally be changed after an order has been placed. Customers should contact support as soon as possible if a correction is required.,Hard,Paraphrased
149,What information do you have about order cancellation?,Orders,ORD001,Orders can be cancelled before they are dispatched.,Medium,Conversational
150,Could you give me more information about invoice requests?,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Hard,Conversational
151,I need help with original packaging. What does the policy say?,Returns,RET002,Items should normally be returned in their original packaging to be eligible for a return.,Easy,Policy-focused
152,What information do you have about international delivery?,International Orders,INT001,International delivery times vary depending on the destination and shipping service selected.,Medium,Conversational
153,Could you give me more information about international delivery?,International Orders,INT001,International delivery times vary depending on the destination and shipping service selected.,Hard,Conversational
154,What are the requirements for original packaging?,Returns,RET002,Items should normally be returned in their original packaging to be eligible for a return.,Hard,Policy-focused
155,I have a question about original packaging. What is the policy?,Returns,RET002,Items should normally be returned in their original packaging to be eligible for a return.,Medium,Policy-focused
156,Can you explain the payment failure policy?,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Easy,Paraphrased
157,Could you give me more information about email address change?,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Hard,Conversational
158,What are the requirements for warranty period?,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Hard,Policy-focused
159,What information do you have about subscription cancellation?,Subscriptions,SUB001,Customers can cancel their subscription through their account settings before the next billing date.,Medium,Conversational
160,What should I know about subscription renewal?,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Easy,Conversational
161,Can you tell me what the company policy says about accepted payment methods?,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Medium,Policy-focused
162,What are the requirements for international delivery?,International Orders,INT001,International delivery times vary depending on the destination and shipping service selected.,Hard,Policy-focused
163,What are the requirements for payment failure?,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Hard,Policy-focused
164,Could you tell me about invoice requests?,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Easy,Policy-focused
165,How does the refund processing time policy work?,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Medium,Paraphrased
166,Can I change my delivery address after dispatch?,Unsupported,,The available company policy does not contain enough information to answer this question.,Hard,Unsupported
167,What information do you have about express delivery?,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Medium,Conversational
168,What are the requirements for subscription renewal?,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Hard,Policy-focused
169,I need help with accepted payment methods. What does the policy say?,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Easy,Policy-focused
170,What are the requirements for subscription cancellation?,Subscriptions,SUB001,Customers can cancel their subscription through their account settings before the next billing date.,Hard,Policy-focused
171,Could you give me more information about product information?,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Hard,Conversational
172,What are the requirements for warranty claims?,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Hard,Policy-focused
173,Could you tell me about original packaging?,Returns,RET002,Items should normally be returned in their original packaging to be eligible for a return.,Easy,Policy-focused
174,What information do you have about promo codes?,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Medium,Conversational
175,What do I need to know regarding refund processing time?,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Medium,Direct
176,What are the rules regarding promo codes?,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Medium,Direct
177,What should I know about refund payment method?,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Easy,Conversational
178,What is the policy for password reset?,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Easy,Direct
179,Can you explain the discount restrictions policy?,Discounts,DIS002,Promotional discounts may have specific terms and conditions that should be checked before use.,Easy,Paraphrased
180,Can you tell me what the company policy says about order tracking?,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Medium,Policy-focused
181,Can you tell me what the company policy says about email address change?,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Medium,Policy-focused
182,What is the policy for accepted payment methods?,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Easy,Direct
183,Please explain the company's product availability policy.,Products,PRO001,Product availability is shown on the product page and may change depending on inventory levels.,Hard,Paraphrased
184,I have a question about password reset. What is the policy?,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Medium,Policy-focused
185,How does the company handle express delivery?,Shipping,SHP002,Express delivery usually takes 1 to 2 business days after dispatch.,Hard,Policy-focused
186,I have a question about warranty period. What is the policy?,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Medium,Policy-focused
187,What are the rules regarding complaints?,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Medium,Direct
188,Please explain the company's warranty claims policy.,Warranty,WAR002,Warranty claims can be submitted through customer support with proof of purchase.,Hard,Paraphrased
189,How does the company handle original packaging?,Returns,RET002,Items should normally be returned in their original packaging to be eligible for a return.,Hard,Policy-focused
190,What information do you have about product availability?,Products,PRO001,Product availability is shown on the product page and may change depending on inventory levels.,Medium,Conversational
191,How does the company handle product availability?,Products,PRO001,Product availability is shown on the product page and may change depending on inventory levels.,Hard,Policy-focused
192,What should I know about account closure?,Account,ACC003,Customers can request account closure through customer support.,Easy,Conversational
193,Could you tell me about contact support?,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Easy,Policy-focused
194,Can you explain the complaints policy?,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Easy,Paraphrased
195,I need help with account closure. What does the policy say?,Account,ACC003,Customers can request account closure through customer support.,Easy,Policy-focused
196,What is the policy for email address change?,Account,ACC002,Customers can request an email address change through customer support after verifying their account.,Easy,Direct
197,What are the rules regarding subscription renewal?,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Medium,Direct
198,What information do you have about complaints?,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Medium,Conversational
199,How does the order status policy work?,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Medium,Paraphrased
200,Can you explain the password reset policy?,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Easy,Paraphrased
201,Could you tell me about refund processing time?,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Easy,Policy-focused
202,What should I know about subscription cancellation?,Subscriptions,SUB001,Customers can cancel their subscription through their account settings before the next billing date.,Easy,Conversational
203,Please explain the company's subscription cancellation policy.,Subscriptions,SUB001,Customers can cancel their subscription through their account settings before the next billing date.,Hard,Paraphrased
204,Could you give me more information about complaints?,Customer Support,SUP002,Customers can submit complaints through the customer support form.,Hard,Conversational
205,Can you explain the product availability policy?,Products,PRO001,Product availability is shown on the product page and may change depending on inventory levels.,Easy,Paraphrased
206,How does the company handle standard delivery?,Shipping,SHP001,Standard delivery usually takes 3 to 5 business days.,Hard,Policy-focused
207,How does the original packaging policy work?,Returns,RET002,Items should normally be returned in their original packaging to be eligible for a return.,Medium,Paraphrased
208,What are the requirements for product information?,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Hard,Policy-focused
209,I have a question about invoice requests. What is the policy?,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Medium,Policy-focused
210,How does the order cancellation policy work?,Orders,ORD001,Orders can be cancelled before they are dispatched.,Medium,Paraphrased
211,Could you tell me about subscription renewal?,Subscriptions,SUB002,Subscriptions automatically renew on the scheduled billing date unless cancelled beforehand.,Easy,Policy-focused
212,How does the company handle promo codes?,Discounts,DIS001,Valid promotional codes can be entered during checkout before the order is completed.,Hard,Policy-focused
213,Can you tell me what the company policy says about refund payment method?,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Medium,Policy-focused
214,What is the policy for refund payment method?,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Easy,Direct
215,Could you give me more information about accepted payment methods?,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Hard,Conversational
216,Could you tell me about payment failure?,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Easy,Policy-focused
217,What do I need to know regarding order cancellation?,Orders,ORD001,Orders can be cancelled before they are dispatched.,Medium,Direct
218,Please explain the company's invoice requests policy.,Invoices,INV002,Customers can contact support if they require assistance locating an invoice.,Hard,Paraphrased
219,What are the requirements for return window?,Returns,RET001,Items can be returned within 30 days of delivery.,Hard,Policy-focused
220,How does the order tracking policy work?,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Medium,Paraphrased
221,Can you tell me what the company policy says about order status?,Orders,ORD003,Customers can check their order status using the order tracking link provided after dispatch.,Medium,Policy-focused
222,How does the company handle product information?,Products,PRO002,Customers can find product specifications and dimensions on the relevant product page.,Hard,Policy-focused
223,What should I know about accepted payment methods?,Payments,PAY001,"We accept Visa, Mastercard, American Express and PayPal.",Easy,Conversational
224,What do I need to know regarding international delivery?,International Orders,INT001,International delivery times vary depending on the destination and shipping service selected.,Medium,Direct
225,Can you tell me what the company policy says about product availability?,Products,PRO001,Product availability is shown on the product page and may change depending on inventory levels.,Medium,Policy-focused
226,I need help with password reset. What does the policy say?,Account,ACC001,Customers can reset their password by selecting 'Forgot password' on the login page and following the instructions sent to their email.,Easy,Policy-focused
227,Can you tell me what the company policy says about contact support?,Customer Support,SUP001,Customers can contact support through the customer support form for assistance with their account or orders.,Medium,Policy-focused
228,I have a question about account closure. What is the policy?,Account,ACC003,Customers can request account closure through customer support.,Medium,Policy-focused
229,How does the account closure policy work?,Account,ACC003,Customers can request account closure through customer support.,Medium,Paraphrased
230,How does the company handle payment failure?,Payments,PAY002,"If a payment fails, customers should check their payment details and try the transaction again.",Hard,Policy-focused
231,How does the company handle order tracking?,Shipping,SHP003,Orders can be tracked using the tracking link sent to the customer's email after dispatch.,Hard,Policy-focused
232,Please explain the company's refund processing time policy.,Refunds,REF001,Refunds are processed within 5 to 7 business days after the return is approved.,Hard,Paraphrased
233,What are the requirements for refund payment method?,Refunds,REF002,Refunds are normally returned to the original payment method used for the purchase.,Hard,Policy-focused
234,Could you tell me about warranty period?,Warranty,WAR001,Products are covered by a 12-month warranty from the date of purchase.,Easy,Policy-focused
